epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,368.557,0.76654,0.50254,1.03011,0.0062,0.98046,0.97708,0.98605,0.76902,0.71312,0.41116,1.04405,0.00445,0.000504175,0.000504175,0.000504175
38,378.484,0.7695,0.50567,1.02935,0.00627,0.977,0.97495,0.98464,0.76967,0.70923,0.40535,1.04889,0.00441,0.000501846,0.000501846,0.000501846
39,388.522,0.76133,0.50193,1.02668,0.00606,0.97785,0.98297,0.98435,0.76825,0.71848,0.4005,1.04761,0.00428,0.000499518,0.000499518,0.000499518
40,398.637,0.76479,0.4963,1.03056,0.00631,0.98518,0.97651,0.98525,0.77125,0.72656,0.39936,1.04998,0.00473,0.000497189,0.000497189,0.000497189
41,408.74,0.76328,0.49313,1.03192,0.00583,0.98179,0.98099,0.98554,0.77183,0.70424,0.40779,1.04216,0.0047,0.000494861,0.000494861,0.000494861
42,418.704,0.76384,0.49716,1.02815,0.00584,0.9804,0.97436,0.98492,0.78287,0.6927,0.38842,1.03629,0.00484,0.000492532,0.000492532,0.000492532
43,428.513,0.7391,0.47328,1.01614,0.00569,0.98114,0.97699,0.98322,0.78693,0.68062,0.38288,1.03207,0.00389,0.000490204,0.000490204,0.000490204
44,438.74,0.74533,0.48242,1.01276,0.00565,0.98041,0.97836,0.98542,0.78457,0.68679,0.38292,1.03358,0.00364,0.000487875,0.000487875,0.000487875
45,448.74,0.74842,0.47067,1.02361,0.00577,0.97379,0.97837,0.9783,0.76672,0.71917,0.38667,1.05118,0.00405,0.000485547,0.000485547,0.000485547
46,458.698,0.74303,0.478,1.01734,0.00559,0.97815,0.98038,0.98586,0.78913,0.67426,0.37828,1.0242,0.00382,0.000483218,0.000483218,0.000483218
47,468.274,0.74007,0.47607,1.0093,0.00559,0.97992,0.98015,0.98275,0.76824,0.71371,0.39443,1.03923,0.00391,0.00048089,0.00048089,0.00048089
48,477.972,0.73663,0.46544,1.0162,0.00533,0.98472,0.98313,0.98613,0.78047,0.69221,0.37399,1.03544,0.00439,0.000478561,0.000478561,0.000478561
49,488.351,0.73853,0.46445,1.01638,0.00559,0.98661,0.98018,0.98581,0.79109,0.67819,0.373,1.02786,0.00355,0.000476233,0.000476233,0.000476233
50,498.295,0.75234,0.47026,1.02702,0.0054,0.98426,0.98031,0.9842,0.78295,0.68517,0.38345,1.03037,0.00376,0.000473904,0.000473904,0.000473904
51,508.048,0.72821,0.46227,1.01199,0.00583,0.98324,0.98206,0.98249,0.78312,0.6811,0.373,1.03211,0.00375,0.000471576,0.000471576,0.000471576
52,517.676,0.73346,0.46454,1.01603,0.00545,0.98831,0.98293,0.98723,0.78912,0.67787,0.37003,1.02767,0.00356,0.000469248,0.000469248,0.000469248
53,527.417,0.73079,0.45778,1.01449,0.00602,0.98485,0.98117,0.98562,0.78928,0.67642,0.36596,1.02596,0.00408,0.000466919,0.000466919,0.000466919
54,537.085,0.73317,0.45942,1.01388,0.00548,0.98165,0.97807,0.98323,0.76976,0.70029,0.39177,1.03451,0.0038,0.000464591,0.000464591,0.000464591
55,546.691,0.72849,0.45801,1.00983,0.00577,0.98521,0.98574,0.98553,0.76284,0.75152,0.381,1.06294,0.0042,0.000462262,0.000462262,0.000462262
56,556.287,0.73794,0.45458,1.01132,0.0049,0.98667,0.98558,0.98647,0.79005,0.66638,0.36841,1.01984,0.00351,0.000459934,0.000459934,0.000459934
57,566.415,0.72255,0.44933,1.00965,0.00504,0.98477,0.98324,0.98644,0.79473,0.66051,0.35896,1.01808,0.00349,0.000457605,0.000457605,0.000457605
58,576.109,0.73113,0.45843,1.00953,0.00522,0.98882,0.98684,0.98657,0.79182,0.67855,0.3599,1.03181,0.00351,0.000455277,0.000455277,0.000455277
59,585.851,0.72757,0.45161,1.01142,0.00523,0.98518,0.98489,0.98731,0.79454,0.67955,0.3638,1.02769,0.00349,0.000452948,0.000452948,0.000452948
60,595.583,0.71473,0.44248,1.0021,0.00508,0.98874,0.97931,0.98762,0.78544,0.68706,0.36923,1.02854,0.00354,0.00045062,0.00045062,0.00045062
61,605.246,0.72677,0.44652,1.00904,0.0052,0.98773,0.98517,0.98743,0.79408,0.66338,0.35473,1.02295,0.00337,0.000448291,0.000448291,0.000448291
62,614.931,0.71535,0.44186,1.00128,0.00509,0.98787,0.98417,0.98606,0.79814,0.66139,0.35139,1.02144,0.0036,0.000445963,0.000445963,0.000445963
63,624.767,0.71425,0.43456,0.99867,0.00535,0.98929,0.98465,0.98756,0.79167,0.67864,0.35971,1.02316,0.00339,0.000443634,0.000443634,0.000443634
64,634.461,0.71371,0.43723,1.00916,0.00481,0.98751,0.98769,0.98792,0.80365,0.64767,0.34532,1.01011,0.00324,0.000441306,0.000441306,0.000441306
65,644.186,0.71238,0.4342,1.00593,0.00507,0.98648,0.97587,0.9872,0.78816,0.67337,0.35963,1.02297,0.00372,0.000438977,0.000438977,0.000438977
66,654.221,0.71335,0.43153,1.00663,0.00491,0.98552,0.97888,0.98167,0.79286,0.66001,0.34929,1.01464,0.00345,0.000436649,0.000436649,0.000436649
67,664.54,0.72012,0.44439,1.01168,0.00519,0.98795,0.98117,0.98703,0.79491,0.66748,0.35362,1.01817,0.0034,0.00043432,0.00043432,0.00043432
68,674.504,0.70935,0.42815,0.99984,0.00487,0.98901,0.98839,0.98776,0.79436,0.67009,0.34652,1.01716,0.00332,0.000431992,0.000431992,0.000431992
69,684.76,0.70791,0.41976,1.00433,0.00474,0.98999,0.98694,0.98636,0.78975,0.67966,0.3475,1.02954,0.00436,0.000429663,0.000429663,0.000429663
70,694.539,0.7035,0.42874,0.99664,0.00476,0.99109,0.98356,0.98815,0.79076,0.66932,0.35134,1.02226,0.00336,0.000427335,0.000427335,0.000427335
71,704.409,0.70641,0.42228,1.00792,0.00466,0.9863,0.98369,0.98715,0.79734,0.65966,0.34097,1.01727,0.00315,0.000425006,0.000425006,0.000425006
72,714.913,0.70767,0.43079,1.00242,0.00494,0.98786,0.98228,0.9871,0.79196,0.67074,0.35697,1.02246,0.00336,0.000422678,0.000422678,0.000422678
73,725.062,0.7074,0.42649,1.00406,0.00519,0.98699,0.98616,0.98394,0.79687,0.65738,0.338,1.01398,0.00331,0.000420349,0.000420349,0.000420349
74,735.137,0.70242,0.42406,0.99999,0.00421,0.98894,0.98666,0.98749,0.80684,0.64378,0.33434,1.01292,0.00356,0.000418021,0.000418021,0.000418021
75,745.125,0.69903,0.42184,0.99748,0.00453,0.98897,0.98486,0.98828,0.80248,0.64861,0.34191,1.01138,0.00325,0.000415692,0.000415692,0.000415692
76,755.22,0.70024,0.42006,0.9959,0.00466,0.98812,0.98733,0.98789,0.80642,0.6419,0.32914,1.00684,0.00327,0.000413364,0.000413364,0.000413364
77,765.315,0.6989,0.41506,0.9992,0.00453,0.98919,0.98703,0.98833,0.80749,0.64182,0.33146,1.00641,0.00323,0.000411036,0.000411036,0.000411036
78,775.035,0.71502,0.42815,1.00438,0.00447,0.99109,0.98616,0.98866,0.79592,0.6671,0.339,1.01923,0.00321,0.000408707,0.000408707,0.000408707
79,784.699,0.69903,0.41391,0.99974,0.00437,0.98976,0.98195,0.98768,0.80888,0.63523,0.33063,1.00533,0.00333,0.000406379,0.000406379,0.000406379
80,794.425,0.69542,0.41355,0.99344,0.00463,0.99035,0.98674,0.98758,0.80997,0.63604,0.33236,1.00499,0.00339,0.00040405,0.00040405,0.00040405
81,804.045,0.68997,0.41602,0.99763,0.00471,0.98603,0.98795,0.98664,0.79627,0.65975,0.33812,1.01327,0.00361,0.000401722,0.000401722,0.000401722
82,813.711,0.68396,0.4075,0.99238,0.00448,0.98664,0.98786,0.98751,0.79879,0.6583,0.33816,1.01135,0.00324,0.000399393,0.000399393,0.000399393
83,823.468,0.69517,0.41273,0.99375,0.00484,0.98711,0.98791,0.98776,0.809,0.63526,0.32298,1.00467,0.00303,0.000397065,0.000397065,0.000397065
84,833.25,0.68044,0.40644,0.98385,0.00435,0.9894,0.98856,0.98877,0.80784,0.63937,0.32579,1.00435,0.00318,0.000394736,0.000394736,0.000394736
85,842.9,0.68921,0.41018,0.99393,0.00457,0.98965,0.9881,0.98775,0.81171,0.62838,0.32382,1.00043,0.00323,0.000392408,0.000392408,0.000392408
86,852.683,0.68272,0.40749,0.98905,0.00435,0.99084,0.98746,0.98856,0.79726,0.65531,0.33391,1.00997,0.00338,0.000390079,0.000390079,0.000390079
87,862.604,0.69009,0.4068,0.99678,0.00447,0.99114,0.9856,0.98808,0.81403,0.63217,0.32297,1.0037,0.00339,0.000387751,0.000387751,0.000387751
88,873.094,0.69228,0.41734,0.99235,0.00471,0.98678,0.98066,0.98849,0.79859,0.64883,0.34684,1.00577,0.00308,0.000385422,0.000385422,0.000385422
89,883.703,0.68627,0.41445,0.98851,0.00442,0.99115,0.9878,0.98761,0.81041,0.63387,0.32536,1.00704,0.00304,0.000383094,0.000383094,0.000383094
90,893.654,0.68282,0.40466,0.99088,0.00441,0.99047,0.98552,0.98837,0.80864,0.63167,0.31989,1.00178,0.00298,0.000380765,0.000380765,0.000380765
91,903.281,0.68543,0.40869,0.99452,0.00428,0.99211,0.98831,0.98913,0.79965,0.66347,0.32941,1.01214,0.00299,0.000378437,0.000378437,0.000378437
92,913.047,0.67725,0.40113,0.98943,0.00404,0.99005,0.9887,0.98784,0.81087,0.63713,0.32307,1.00149,0.00311,0.000376108,0.000376108,0.000376108
93,922.974,0.68172,0.40363,0.99208,0.00424,0.98879,0.98798,0.98779,0.80089,0.6428,0.32599,1.00402,0.00337,0.00037378,0.00037378,0.00037378
94,932.654,0.67743,0.39837,0.98805,0.00421,0.99059,0.98452,0.98778,0.79109,0.67493,0.33281,1.01971,0.00301,0.000371451,0.000371451,0.000371451
95,942.372,0.68601,0.39845,0.99079,0.0043,0.99042,0.98643,0.98714,0.81141,0.63312,0.32316,1.00307,0.00291,0.000369123,0.000369123,0.000369123
96,952.006,0.67708,0.40133,0.9888,0.0044,0.98911,0.98502,0.98767,0.79078,0.66986,0.34125,1.01617,0.00298,0.000366794,0.000366794,0.000366794
97,961.967,0.66928,0.39384,0.97921,0.0042,0.99193,0.98918,0.98933,0.82213,0.61773,0.31344,0.99761,0.00298,0.000364466,0.000364466,0.000364466
98,971.89,0.66007,0.3948,0.97763,0.00421,0.98963,0.98553,0.9876,0.81768,0.61596,0.31518,0.99464,0.00349,0.000362137,0.000362137,0.000362137
99,981.638,0.66079,0.38818,0.97845,0.00399,0.98896,0.98772,0.98752,0.81315,0.6236,0.31638,0.99449,0.0029,0.000359809,0.000359809,0.000359809
100,991.76,0.66067,0.39166,0.98188,0.00399,0.98736,0.98888,0.9879,0.81811,0.61536,0.31648,0.9918,0.00317,0.00035748,0.00035748,0.00035748
101,1002.06,0.66971,0.39092,0.99047,0.00401,0.9865,0.98797,0.98764,0.81392,0.62816,0.3241,0.99753,0.00306,0.000355152,0.000355152,0.000355152
102,1012.17,0.6536,0.38253,0.97908,0.00387,0.99123,0.98868,0.98849,0.81677,0.61966,0.31309,1.00015,0.00313,0.000352824,0.000352824,0.000352824
103,1022.35,0.6626,0.39558,0.98101,0.00417,0.9905,0.98871,0.98851,0.81789,0.61804,0.31433,0.9948,0.0029,0.000350495,0.000350495,0.000350495
104,1032.47,0.66558,0.39553,0.98474,0.0041,0.98935,0.98601,0.98884,0.81866,0.61421,0.31466,0.99267,0.00286,0.000348167,0.000348167,0.000348167
105,1043.1,0.66673,0.39287,0.98417,0.00432,0.99026,0.98763,0.98836,0.8201,0.61161,0.31558,0.98897,0.00289,0.000345838,0.000345838,0.000345838
106,1053.76,0.65831,0.39278,0.98116,0.00399,0.99014,0.98775,0.98951,0.8215,0.61961,0.31369,0.99769,0.00311,0.00034351,0.00034351,0.00034351
107,1064.38,0.66361,0.38738,0.98171,0.00389,0.99013,0.9829,0.98796,0.80427,0.6353,0.31675,1.00421,0.00326,0.000341181,0.000341181,0.000341181
108,1074.84,0.66481,0.3878,0.98084,0.00391,0.98522,0.98763,0.9879,0.81514,0.61323,0.31374,0.99114,0.00279,0.000338853,0.000338853,0.000338853
109,1085.25,0.65001,0.38515,0.97173,0.00413,0.98974,0.98433,0.98846,0.82018,0.60226,0.31027,0.9866,0.00302,0.000336524,0.000336524,0.000336524
110,1095.66,0.65868,0.38997,0.98305,0.00424,0.98957,0.98765,0.98806,0.81894,0.60459,0.31402,0.98584,0.00295,0.000334196,0.000334196,0.000334196
111,1105.62,0.66038,0.38836,0.97423,0.00375,0.99111,0.98663,0.98793,0.8216,0.60304,0.30802,0.98545,0.00278,0.000331867,0.000331867,0.000331867
112,1115.35,0.66237,0.38381,0.98292,0.00396,0.9913,0.98816,0.98853,0.82252,0.60039,0.308,0.98643,0.00276,0.000329539,0.000329539,0.000329539
113,1125.36,0.65457,0.3857,0.96991,0.004,0.99117,0.98509,0.98822,0.81981,0.61605,0.30742,0.99564,0.00276,0.00032721,0.00032721,0.00032721
114,1135.23,0.6432,0.37894,0.97229,0.00395,0.99182,0.98649,0.98773,0.82129,0.61119,0.30227,0.99406,0.00272,0.000324882,0.000324882,0.000324882
115,1145.53,0.6487,0.3803,0.96994,0.00389,0.98984,0.98541,0.98793,0.82447,0.59546,0.30437,0.98274,0.00274,0.000322553,0.000322553,0.000322553
116,1155.16,0.65217,0.37954,0.98054,0.00416,0.99024,0.98478,0.98769,0.82134,0.60599,0.30965,0.98651,0.00265,0.000320225,0.000320225,0.000320225
117,1164.77,0.66554,0.3874,0.98404,0.00422,0.98956,0.98751,0.98833,0.82255,0.60988,0.3063,0.99306,0.00273,0.000317896,0.000317896,0.000317896
118,1174.38,0.65249,0.37474,0.98119,0.00393,0.9896,0.98968,0.98781,0.82485,0.60079,0.3048,0.98565,0.00287,0.000315568,0.000315568,0.000315568
119,1184.62,0.6541,0.38648,0.97662,0.00383,0.9918,0.98712,0.98804,0.82227,0.61016,0.30367,0.98902,0.00266,0.000313239,0.000313239,0.000313239
120,1194.33,0.64041,0.36947,0.97437,0.00409,0.99127,0.98529,0.98855,0.82289,0.59966,0.3034,0.98491,0.003,0.000310911,0.000310911,0.000310911
121,1203.97,0.65497,0.37478,0.9782,0.00378,0.99011,0.98574,0.98764,0.81404,0.61483,0.30666,0.98978,0.00269,0.000308582,0.000308582,0.000308582
122,1213.69,0.6407,0.36884,0.97087,0.00404,0.99014,0.98779,0.98753,0.82289,0.59732,0.30021,0.98517,0.00262,0.000306254,0.000306254,0.000306254
123,1223.56,0.65343,0.37867,0.97695,0.0041,0.98961,0.98655,0.98775,0.81115,0.61553,0.30944,0.99175,0.00279,0.000303925,0.000303925,0.000303925
124,1233.27,0.64507,0.37218,0.97396,0.00401,0.98983,0.98648,0.98761,0.82454,0.59985,0.30147,0.98716,0.00311,0.000301597,0.000301597,0.000301597
125,1242.98,0.6432,0.37467,0.97492,0.00369,0.99109,0.98626,0.98811,0.82567,0.5945,0.29817,0.98263,0.00275,0.000299268,0.000299268,0.000299268
