epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
39,409.587,0.46182,0.30273,1.06874,0.00134,0.99995,1,0.995,0.92914,0.39644,0.26095,1.01598,0.00219,0.00169904,0.00169904,0.00169904
40,418.516,0.45296,0.30124,1.06827,0.00166,0.99975,1,0.995,0.93921,0.35547,0.24743,1.00898,0.00208,0.00169112,0.00169112,0.00169112
41,427.407,0.44245,0.30074,1.05812,0.00149,0.99991,1,0.995,0.91998,0.41242,0.26845,1.03739,0.0023,0.0016832,0.0016832,0.0016832
42,436.582,0.45,0.30285,1.05719,0.00196,0.99907,1,0.995,0.93418,0.36538,0.24774,1.00566,0.00225,0.00167528,0.00167528,0.00167528
43,446.072,0.4354,0.28881,1.05118,0.00139,0.99991,1,0.995,0.93691,0.36482,0.23276,1.00977,0.00221,0.00166736,0.00166736,0.00166736
44,455.015,0.43569,0.29018,1.04659,0.001,0.99995,1,0.995,0.93237,0.3681,0.24025,1.02315,0.00219,0.00165944,0.00165944,0.00165944
45,463.768,0.45457,0.29919,1.06071,0.00162,0.99994,1,0.995,0.92654,0.38158,0.25392,1.04371,0.0019,0.00165152,0.00165152,0.00165152
46,474.849,0.43878,0.28779,1.05581,0.00141,0.99994,1,0.995,0.93869,0.36184,0.24004,1.0131,0.00181,0.0016436,0.0016436,0.0016436
47,488.214,0.43428,0.28708,1.03946,0.00103,0.99994,1,0.995,0.92496,0.37542,0.24192,1.00812,0.00206,0.00163568,0.00163568,0.00163568
48,501.597,0.43086,0.28523,1.04923,0.00146,0.99992,1,0.995,0.93501,0.35352,0.2325,0.99454,0.00224,0.00162776,0.00162776,0.00162776
49,514.643,0.42751,0.2799,1.04709,0.00155,0.99993,1,0.995,0.9402,0.34424,0.22443,1.0183,0.00208,0.00161984,0.00161984,0.00161984
50,527.705,0.43292,0.28753,1.04767,0.00118,0.99987,1,0.995,0.93975,0.35487,0.22587,1.00095,0.00176,0.00161192,0.00161192,0.00161192
51,540.897,0.43302,0.28561,1.05589,0.00137,0.99985,1,0.995,0.93854,0.35412,0.23277,1.00818,0.0019,0.001604,0.001604,0.001604
52,554.208,0.43149,0.28482,1.04876,0.00114,0.99961,1,0.995,0.93939,0.34766,0.23354,1.00954,0.00202,0.00159608,0.00159608,0.00159608
53,568.103,0.43715,0.28484,1.04803,0.00122,0.99993,1,0.995,0.9443,0.34572,0.2298,1.00612,0.00222,0.00158816,0.00158816,0.00158816
54,581.932,0.43376,0.28154,1.04368,0.00149,0.99978,1,0.995,0.94555,0.34281,0.23086,1.00123,0.00199,0.00158024,0.00158024,0.00158024
55,595.719,0.42862,0.27887,1.04646,0.00124,0.99693,1,0.99499,0.93902,0.3543,0.24582,1.01331,0.00191,0.00157232,0.00157232,0.00157232
56,609.265,0.42068,0.27532,1.04529,0.0013,0.99993,1,0.995,0.94698,0.33478,0.22494,1.00077,0.00214,0.0015644,0.0015644,0.0015644
57,622.914,0.4214,0.27644,1.04682,0.00131,0.99994,1,0.995,0.94223,0.34254,0.22101,0.99176,0.00187,0.00155648,0.00155648,0.00155648
58,637.067,0.41897,0.27078,1.04001,0.00112,0.99929,1,0.995,0.94465,0.34153,0.22163,1.00519,0.00191,0.00154856,0.00154856,0.00154856
59,647.796,0.42944,0.28187,1.04577,0.00122,0.99994,1,0.995,0.93869,0.35998,0.239,0.99692,0.00198,0.00154064,0.00154064,0.00154064
60,657.404,0.42592,0.27758,1.04618,0.00191,0.99994,1,0.995,0.93731,0.35757,0.23803,0.98993,0.00256,0.00153272,0.00153272,0.00153272
61,666.601,0.42463,0.27306,1.04227,0.00112,0.99994,1,0.995,0.9415,0.34036,0.22588,0.9958,0.002,0.0015248,0.0015248,0.0015248
62,675.941,0.4256,0.27227,1.04365,0.0012,0.99994,1,0.995,0.94681,0.33298,0.22251,1.00288,0.00242,0.00151688,0.00151688,0.00151688
63,685.346,0.41528,0.2687,1.04843,0.00104,0.99994,1,0.995,0.93993,0.34271,0.21483,0.98847,0.00197,0.00150896,0.00150896,0.00150896
64,694.744,0.42543,0.27388,1.04865,0.0015,0.99994,1,0.995,0.94169,0.34542,0.232,1.00176,0.00198,0.00150104,0.00150104,0.00150104
65,704.215,0.42666,0.27656,1.04778,0.00117,0.99992,1,0.995,0.94244,0.34722,0.22694,0.97922,0.00178,0.00149312,0.00149312,0.00149312
66,713.645,0.42108,0.27076,1.0394,0.00129,0.9999,1,0.995,0.94244,0.342,0.22985,0.98655,0.00199,0.0014852,0.0014852,0.0014852
67,723.078,0.43328,0.27855,1.05195,0.00153,0.99994,1,0.995,0.93752,0.35406,0.23675,1.0087,0.00205,0.00147728,0.00147728,0.00147728
68,732.52,0.41565,0.27168,1.04217,0.00126,0.99993,1,0.995,0.93596,0.35228,0.22274,1.00041,0.00184,0.00146936,0.00146936,0.00146936
69,741.87,0.42338,0.27371,1.03654,0.00125,0.99994,1,0.995,0.94039,0.34378,0.22848,0.98921,0.00174,0.00146144,0.00146144,0.00146144
70,751.051,0.41906,0.27192,1.03908,0.00122,0.99994,1,0.995,0.94573,0.33239,0.2173,0.98701,0.00187,0.00145352,0.00145352,0.00145352
71,760.51,0.41193,0.26404,1.03867,0.00113,0.99995,1,0.995,0.94333,0.33845,0.21684,0.98927,0.00196,0.0014456,0.0014456,0.0014456
72,769.35,0.40851,0.26341,1.03258,0.00117,0.9999,1,0.995,0.94046,0.34471,0.22497,0.98463,0.00221,0.00143768,0.00143768,0.00143768
73,778.228,0.40696,0.2598,1.02397,0.00119,0.99993,1,0.995,0.94735,0.32934,0.21205,0.98644,0.00209,0.00142976,0.00142976,0.00142976
74,787.524,0.40818,0.26284,1.0314,0.00112,0.99994,1,0.995,0.94489,0.32697,0.21163,0.98503,0.00181,0.00142184,0.00142184,0.00142184
75,797.087,0.41254,0.26607,1.03618,0.00134,0.99995,1,0.995,0.94174,0.33182,0.21726,0.98187,0.00217,0.00141392,0.00141392,0.00141392
76,806.629,0.41437,0.26179,1.03185,0.00109,0.99995,1,0.995,0.94705,0.32906,0.21066,0.9945,0.00173,0.001406,0.001406,0.001406
